,Country,Year,WHI,SPI,GDP,WGI
0,Switzerland,2015,7.587,88.05,82.89756098,42.0
1,Iceland,2015,7.561,88.6,82.46829268,71.52000000000002
2,Denmark,2015,7.527,89.37,80.70243902,42.0
3,Norway,2015,7.522,89.15,82.30487805,49.0
4,Canada,2015,7.427,87.3,81.81560976,60.0
5,Finland,2015,7.406,89.25,81.4804878,43.0
6,Netherlands,2015,7.378,89.23,81.5097561,56.0
7,Sweden,2015,7.364,88.72,82.20487805,44.0
8,New Zealand,2015,7.286,86.6,81.61243902,61.0
9,Australia,2015,7.284,87.7,82.4,59.0
10,Israel,2015,7.278,81.23,82.05121951,32.0
11,Costa Rica,2015,7.226,78.89,79.086,43.0
12,Austria,2015,7.2,86.47,81.1902439,46.0
13,Mexico,2015,7.187,68.61,74.682,29.0
14,United States,2015,7.119,85.3,78.6902439,61.0
15,Brazil,2015,6.983,72.72,74.332,25.0
16,Luxembourg,2015,6.946,85.9,82.29268293,43.0
17,Ireland,2015,6.94,86.0,81.45365854,56.0
18,Belgium,2015,6.937,86.38,80.99268293,40.0
19,United Arab Emirates,2015,6.901,66.57,79.223,50.0
20,United Kingdom,2015,6.867,86.65,80.95609756,57.0
21,Venezuela,2015,6.81,64.61,73.006,20.0
22,Singapore,2015,6.798,81.85,82.74390244,43.0
23,Panama,2015,6.786,72.27,77.468,39.0
24,Germany,2015,6.75,88.07,80.64146341,47.0
25,Chile,2015,6.67,79.47,79.746,40.0
26,France,2015,6.575,86.08,82.32195122,32.0
27,Argentina,2015,6.574,76.81,76.76,25.0
28,Czechia,2015,6.505,82.92,78.57804878,20.0
29,Uruguay,2015,6.485,79.58,77.483,31.0
30,Colombia,2015,6.477,69.78,76.257,35.0
31,Thailand,2015,6.455,67.1,77.717,48.0
32,Saudi Arabia,2015,6.411,59.33,76.918,40.0
33,Spain,2015,6.329,83.57,82.83170732,36.0
34,Malta,2015,6.302,81.68,81.89756098,51.0
35,Kuwait,2015,6.295,70.41,79.562,46.0
36,El Salvador,2015,6.13,64.27,71.814,23.0
37,Guatemala,2015,6.123,56.38,72.103,49.0
38,Uzbekistan,2015,6.003,58.3,70.475,44.0
39,Japan,2015,5.987,86.92,83.79390244,26.0
40,Ecuador,2015,5.975,69.53,76.789,20.0
41,Italy,2015,5.948,83.02,82.54390244,33.0
42,Bolivia,2015,5.89,64.21,67.318,35.0
43,Moldova,2015,5.889,70.3,69.24,23.0
44,Paraguay,2015,5.878,65.41,73.191,22.0
45,Kazakhstan,2015,5.855,67.71,71.97,37.0
46,Slovenia,2015,5.848,83.98,80.77560976,42.0
47,Lithuania,2015,5.833,81.88,74.32195122,17.0
48,Nicaragua,2015,5.828,61.98,72.983,34.0
49,Peru,2015,5.824,68.69,75.621,23.0
50,Belarus,2015,5.813,71.74,73.62439024,26.0
51,Poland,2015,5.791,80.69,77.45121951,31.0
52,Croatia,2015,5.759,79.23,77.27560976,36.0
53,Russia,2015,5.716,69.75,71.18341463,20.0
54,Jamaica,2015,5.709,70.6,72.394,47.0
55,Turkmenistan,2015,5.548,54.23,68.782,33.0
56,Mauritius,2015,5.477,74.36,74.35317073,41.0
57,Estonia,2015,5.429,83.92,77.5902439,26.0
58,Indonesia,2015,5.399,62.63,69.699,46.0
59,Vietnam,2015,5.36,64.79,73.876,31.0
60,Nigeria,2015,5.268,49.33,51.841,42.0
61,Azerbaijan,2015,5.212,61.07,71.451,22.0
62,Pakistan,2015,5.194,46.7,65.697,28.0
63,Jordan,2015,5.192,66.51,75.011,23.0
64,Montenegro,2015,5.192,73.49,76.44878049,27.0
65,China,2015,5.14,60.33,76.977,12.0
66,Zambia,2015,5.129,49.38,61.208,39.0
67,Romania,2015,5.124,74.84,74.91219512,28.0
68,Serbia,2015,5.123,72.59,75.28780488,23.0
69,Portugal,2015,5.102,83.15,81.12439024,30.0
70,Latvia,2015,5.098,80.37,74.4804878,24.0
71,Philippines,2015,5.073,65.91,71.268,40.0
72,Morocco,2015,5.013,61.43,72.92,21.0
73,Albania,2015,4.959,71.5,78.644,30.0
