Brand,Brand2,2006,2006.1,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rolex,Independent,2840,2840,3400,3750,3000,3400,4000,4500,4600,4800,4900,4900,5000,5400
Cartier watches,Richemont Group,1770,1770,1943,1630,1540,1800,2200,2380,2330,2140,2010,1450,1575,1780
Omega,Swatch Group,1350,1350,1600,1480,1380,1750,1950,2230,2250,2150,2060,1880,2080,2260
Patek Philippe,Independent,611,611,709,830,830,850,1050,1150,1200,1280,1320,1300,1350,1450
TAG Heuer,LVMH Group,822,822,970,915,690,760,880,980,880,770,725,740,870,810
Swatch,Swatch Group,610,610,680,675,640,710,670,720,680,650,595,520,490,450
Tissot,Swatch Group,360,360,400,475,470,640,800,960,990,1100,1060,950,1010,1020
Audemars Piguet,Independent,372,372,490,506,460,520,600,640,700,720,805,850,950,1050
Longines,Swatch Group,325,325,340,440,430,570,890,1120,1280,1350,1380,1360,1500,1670
Chopard watches,Independent,409,409,455,487,413,442,497,567,540,540,536,520,495,524
Breguet,Swatch Group,350,350,525,500,400,550,620,720,725,690,620,420,420,440
Bulgari,Independent,457,457,472,410,314,288,272,,,,,,,
Bulgari,LVMH Group,,,,,,,,300,288,300,311,325,375,371
IWC,Richemont Group,356,356,415,405,377,470,550,690,760,780,715,715,800,840
Jaeger-Lecoultre,Richemont Group,348,348,400,390,362,430,520,625,670,700,690,570,550,550
Rado,Swatch Group,305,305,400,390,360,400,380,440,475,480,450,400,370,400
Vacheron-Constantin,Richemont Group,277,277,320,325,317,400,450,540,570,580,500,405,410,424
Piaget,Richemont Group,284,284,310,310,302,420,510,610,680,690,520,375,360,369
Breitling,Independent,221,221,265,290,260,310,360,395,410,417,411,418,430,486
Panerai,Richemont Group,229,229,261,255,226,270,310,385,415,450,440,380,400,435
Raymond Weil,Independent,253,253,272,279,223,,150,150,150,,120,95,85,
Girard Perregaux,,210,210,240,250,200,,,,,,120,,,
Baume & Mercier,Richemont Group,221,221,237,232,196,,110,145,146,,200,120,115,
Gucci,,356,356,384,,181,,,,,,,,,
Hublot,Independent,95,95,110,,,,,,,,,,,
Hublot,LVMH Group,,,,170,178,282,340,400,440,490,495,495,550,625
Frank Müller,Independent,340,340,410,380,160,210,290,300,340,310,285,265,300,318
Mont Blanc,Richemont Group,126,126,158,170,151,,180,278,280,,220,240,250,
Ulysse Nardin,,130,130,192,171,134,,200,220,230,,176,,,
Hermes,,177,177,166,147,131,,171,207,205,,,172,,
Victorinox,,119,119,128,124,121,,180,200,200,,200,180,70,
Blancpain,Swatch Group,110,110,140,150,120,,180,230,250,280,285,255,295,340
Calvin Klein,Swatch Group,110,110,125,130,120,,140,145,160,180,190,170,170,160
Zenith,LVMH Group,158,158,200,110,120,,,194,207,160,104,95,100,
Corum,,120,120,136,124,119,,150,77,,,,,,
Frederique Constant,,,,117,124,111,,160,180,185,,190,180,,
Charriol,,134,134,,139,111,,,,,,100,100,100,
Lange & Söhne,Richemont Group,119,119,142,124,98,,100,145,158,,140,150,155,
De Grisogono,,,,64,54,90,,70,70,70,,65,60,50,
Maurice Lacroix,,141,141,120,109,89,,80,100,120,,100,80,60,
Richard Mille,,79,79,80,47,79,,100,110,132,,185,225,260,315
Dior,LVMH Group,87,87,96,93,75,,30,24,23,,45,20,,
Chronoswiss,,95,95,96,93,74,,,20,20,,20,20,15,
C.F Bucherer,,63,63,64,78,67,,80,100,100,,100,100,110,
Mondaine,,79,79,80,78,67,,60,60,60,,60,50,40,
Hamilton,Swatch Group,25,25,30,72,65,,80,80,100,120,140,130,130,130
Van Cleef,Richemont Group,47,47,55,62,60,,120,73,109,,100,80,90,
Parmigiani,,79,79,80,78,59,,80,120,140,,120,100,50,
Eterna,,63,63,64,62,59,,,,,,,,,
Glashütte Original,Swatch Group,60,60,70,70,55,,75,85,90,90,85,75,75,80
Roger Dubuis,Richemont Group,160,160,160,62,45,,35,54,61,,65,60,60,
Oris,,,,,47,37,,50,50,60,,60,60,60,
De Witt,,,,,47,37,,30,30,30,,30,25,25,
Certina,Swatch Group,25,25,36,40,35,,45,60,80,90,85,80,80,80
Mido,Swatch Group,10,10,12,34,30,,35,175,190,230,225,205,225,255
FP Journe,,32,32,32,31,30,,30,30,30,,25,25,25,
Balmain,Swatch Group,22,22,25,22,20,,20,20,20,20,20,15,15,14
Jacquez Droz,Swatch Group,12,12,15,18,15,,25,30,35,35,35,25,25,30
Flik flak,Swatch Group,15,15,16,16,15,,13,15,15,15,15,15,11,10
Union Glashütte,Swatch Group,12,12,15,15,12,,15,15,15,15,15,15,15,15
Chanel,,,,,,,,120,120,150,,120,110,120,
Ernest Borel,,,,,,,,,,,,75,65,,
Bell & Ross,,,,,,,,,,,,50,40,40,
Technomarine,,,,,,,,50,40,40,,40,35,35,
Junghans,,,,,,,,,26,30,,25,25,25,
